title,owner,Phone_No,website
Rex Homes,Rex Homes,tel:1300 710 935,https://www.rexhomes.com.au/
Saaoud Constructions,"                
                    ",tel:(03) 8413 7367,http://www.saaoudconstructions.com.au
TradeBuilt Homes,TradeBuilt Homes,tel:(03) 9070 5712,https://tradebuilt.com.au/
Ridge Master Builders Pty Ltd,Christopher Horsley,tel:(08) 9520 8518,https://ridgemasterbuilders.com.au/
Sheridan Building,Jarrod Sheridan,tel:0421 304 096,http://sheridanbuilding.com.au/
Period Extensions & Designs,"AUD  $100,000 - $6,000,000",tel:(03) 9882 5255,https://www.periodextensions.com.au
G-LUX Builders,Jesse Glascott,tel:(03) 9067 7504,https://gluxbuilders.com.au/
Demardi Pty Ltd,Michael Gagliardi,tel:1300 903 260,https://www.demardi.com.au/
Everlong Constructions,Justin Robertson,tel:(03) 9071 0591,https://everlongconstructions.com.au/
Hi-Style Building Group,Mitch,tel:(03) 9068 5434,http://histyle.com.au
Kube Constructions,Andrew Siracusa,tel:(03) 6169 1564,https://www.kubeconstructions.com.au/
Greska Homes,Don Kannangara,tel:0415 242 230,http://www.greska.com.au
Custom Choice Builders,Mitchell Thomas,tel:0412 936 713,http://www.customchoicebuilders.com.au/
Dimpat,Bevan Dimeck,tel:0431 065 949,http://www.dimpat.com.au
First Avenue Homes,Anthony Karlovic,tel:(03) 9596 8536,http://www.firstavenuehomes.com.au
Refresh Renovations Melbourne Paul Cree,Paul Cree,tel:1800 609 103,https://www.refreshrenovations.com.au/about-us/locations/melbourne/?utm_source=directory&utm_medium=Houzz&utm_campaign=Melbourne%20Paul%20Cree
Metricon,Metricon Homes,tel:1300 638 742,https://www.metricon.com.au/
Summerwood Homes,Scott,tel:(03) 9071 0167,https://www.summerwoodhomes.com.au/
Pascon Group Pty Ltd,George Passas,tel:96817330,http://www.pascongroup.com.au
AGN Builders,George Nionakis,tel:1300 880 555,https://www.agnbuilders.com.au/
Clancy Constructions,Shaun Clancy,tel:(03) 9645 4938,http://clancyconstructions.com.au/
Housespec Builders,Andrew Wong,tel:(03) 6118 7204,http://housespec.com.au/
Finney Construction,Damien Finney,tel:(03) 8797 5373,http://finney.melbourne/
Expo Homes Pty Ltd,Joe Aliotta,tel:(03) 8300 7996,http://www.expohomes.com.au/index.htm
Langford Jones Homes,Paul Langford Jones,tel:(03) 8797 5405,http://langfordjoneshomes.com.au/
Refresh Renovations Melbourne Adnan Darwish,Adnan Darwish,tel:1800 335 289,https://www.refreshrenovations.com.au/about-us/locations/melbourne/?utm_source=directory&utm_medium=Houzz&utm_campaign=Melbourne%20Adnan%20Sayyed%20Darwish
S&K Group,Paul Kegen,tel:(03) 9068 9800,http://sandkgroup.com.au/
Yarrabank Builders,"                
                    ",tel:(03) 9068 5463,https://yarrabankbuilders.com.au/
Destin Constructions,David Schwarzer,tel:(03) 8658 8957,https://www.destinconstructions.com.au/
PrecisionTech Building Concepts Pty Ltd,Chris Lang,tel:0416 107 297,https://www.precisiontech.com.au/403.shtml
Feature Point Construction,Ali Yucel,tel:(03) 9069 9870,https://www.fpcon.com.au/
Bayside Extensions,Bayside Extensions,tel:(03) 9596 0368,https://baysideextensions.com
7 Towns,David Cunico,tel:1800 786 967,http://7towns.com.au
Mass Constructions,Tim McRae,tel:1300 585 287,https://massconstructions.com.au/
Building Republic,"$50,000 - $750,000",tel:(03) 9069 8730,https://www.buildingrepublic.com.au/
Brownhill Homes,"$500,000 - $2 million",tel:98791791,https://brownhillhomes.com.au/
Construct Group,"$50,000 - $1 million",tel:0408 053 935,http://www.constructgroupaustralia.com/
Vital Build,Tim Lo Presti,tel:0417 052 983,https://vitalbuild.com.au/
Mink Homes Pty Ltd,Karen Spiteri,tel:0417 767 929,https://minkhomes.com.au/
"Ampson Developments, Design & Construction.",Patrick & Mario Sultana,tel:(03) 9111 5329,https://www.ampson.com.au/
Skilbeck Builders,Tracy Skilbeck,tel:0418 102 378,http://skilbeckbuilders.com.au
Hart Builders Pty Ltd,David Hart,tel:(03) 8737 9346,https://hartbuilders.com.au/
Abode Inspirations,"$500,000 - $1.2 million",tel:(03) 9813 8833,https://www.abodeinspirations.com.au/
Busby Homes,"                
                    ",tel:1300 699 688,http://busbyhomes.com.au/
Baker Building Group,Scott Baker,tel:0438 138 155,https://www.bakerbuildinggroup.com.au/
Porter Davis,"                
                    ",tel:1800 767 837,https://porterdavis.com.au/
Fidaro Pty Ltd,Bijan Zardbani,tel:(03) 8594 4097,http://www.fidaro.com.au/
