title,owner,Phone_No,link_web
Refresh Renovations Melbourne Adnan Darwish,Adnan Sayyed Darwish,tel:1800 335 289,https://www.refreshrenovations.com.au/about-us/locations/melbourne/?utm_source=directory&utm_medium=Houzz&utm_campaign=Melbourne%20Adnan%20Sayyed%20Darwish
Rex Homes,Rex Homes,tel:1300 710 935,https://www.rexhomes.com.au/
Ridge Master Builders Pty Ltd,Christopher Horsley,tel:(08) 9520 8518,https://ridgemasterbuilders.com.au/
Construct Group,"$50,000 - $1 million",tel:0408 053 935,http://www.constructgroupaustralia.com/
Sheridan Building,Jarrod Sheridan,tel:(03) 8657 4197,http://sheridanbuilding.com.au/
Mink Homes Pty Ltd,Karen Spiteri,tel:0417 767 929,https://minkhomes.com.au/
Period Extensions & Designs,"AUD  $100,000 - $6,000,000",tel:(03) 9882 5255,https://www.periodextensions.com.au
Dimpat,Adrian Poropat,tel:0431 065 949,http://www.dimpat.com.au
Custom Choice Builders,Mitchell Thomas,tel:0412 936 713,http://www.customchoicebuilders.com.au/
Summerwoodhomes,Scott,tel:(03) 9071 0167,https://www.summerwoodhomes.com.au/
Kube Constructions,Marcus Elliott & Andrew Siracusa,tel:(03) 6169 1564,https://www.kubeconstructions.com.au/
TradeBuilt Homes,TradeBuilt Homes,tel:(03) 9070 5712,https://tradebuilt.com.au/
Jigsaw Projects,Grant Jennings,tel:(03) 9070 5316,http://jigsawprojects.com.au
G-LUX Builders,Jesse Glascott,tel:(03) 9067 7504,https://gluxbuilders.com.au/
First Avenue Homes,Anthony Karlovic,tel:(03) 9596 8536,http://www.firstavenuehomes.com.au
Fidaro Pty Ltd,Bijan Zardbani,tel:(03) 8594 4097,http://www.fidaro.com.au/
Finney Construction,Damien Finney,tel:(03) 8797 5373,http://finney.melbourne/
Destin Constructions,David Schwarzer,tel:(03) 8658 8957,https://www.doncastertemplestowebuilding.com.au/
7 Towns,David Cunico,tel:1800 786 967,http://7towns.com.au
TITLE Building Projects,Mike Kane,tel:0413 186 761,http://titlebuildingprojects.com.au
Metricon,Metricon Homes,tel:1300 638 742,https://www.metricon.com.au/
Expo Homes Pty Ltd,Joe Aliotta,tel:(03) 8300 7996,http://www.expohomes.com.au/index.htm
Langford Jones Homes,Paul Langford Jones,tel:(03) 8797 5405,http://langfordjoneshomes.com.au/
Greska Homes,Don Kannangara,tel:0415 242 230,http://www.greska.com.au
Hart Builders Pty Ltd,David Hart,tel:(03) 8737 9346,https://hartbuilders.com.au/
AGN Builders,George Nionakis,tel:1300 880 555,https://www.agnbuilders.com.au/
S&K Group,Paul Kegen,tel:(03) 9068 9800,http://sandkgroup.com.au/
Hall Group & Co.,"$10,000 - $1 million",tel:(02) 9158 6364,https://hallgroup.co/
Housespec Builders,Andrew Wong,tel:(03) 6118 7204,http://housespec.com.au/
PrecisionTech Building Concepts Pty Ltd,Chris Lang,tel:0416 107 297,https://www.precisiontech.com.au/403.shtml
Clancy Constructions,Shaun Clancy,tel:(03) 9645 4938,http://clancyconstructions.com.au/
"Ampson Developments, Design & Construction.",Patrick & Mario Sultana,tel:(03) 9111 5329,https://www.ampson.com.au/
Brownhill Homes,"$500,000 - $2 million",tel:98791791,https://brownhillhomes.com.au/
Abode Inspirations,"$500,000 - $1.2 million",tel:(03) 8797 5288,https://www.abodeinspirations.com.au/
Vital Build,Tim Lo Presti,tel:0417 052 983,https://vitalbuild.com.au/
Porter Davis,"                
                    ",tel:1800 767 837,https://porterdavis.com.au/
Skilbeck Builders,Tracy Skilbeck,tel:(03) 8657 4107,http://skilbeckbuilders.com.au
Pars Building Construction,Hamed Rod,tel:(03) 8797 5612,https://www.parsconstruction.com.au/
Baker Building Group,Scott Baker,tel:0438 138 155,https://www.bakerbuildinggroup.com.au/
Busby Homes,"                
                    ",tel:1300 699 688,https://busbyhomes.com.au/
Norik Constructions Pty Ltd,Kiron Barnden,tel:0422 271 750,http://www.norikconstructions.com.au
Reno & Retro,Geordie McCallum,tel:0428 591 662,https://renoandretro.com/
Roseleigh Homes,Lisa Dodenciu,tel:(03) 5622 6777,https://roseleighhomes.com.au/
Faracon,Amir Samei,tel:0433 773 342,http://www.faracon.com.au
Olympus Crest,Kon Anastasiou,tel:0409 043 845,https://www.olympuscrest.com.au/
Vitalmark Constructions,Boris Lipengold,tel:0432 123 077,http://www.vitalmarkconstructions.com.au
Renovation One,Sean Kiley,tel:(03) 9331 0033,https://www.renovationone.com.au/
Atkinson Pontifex,David Pontifex,tel:(03) 9585 1165,https://www.atkinsonpontifex.com.au/
JTDODD,Josh Dodd,tel:0417 290 213,https://www.jtdodd.com.au/
Donnellan Constructions,Heath Donnellan,tel:(03) 9772 7708,http://www.donnellanconstructions.com.au/index
Kinghorn Constructions Pty LTD,Bryan Stokes,tel:0424 936 812,https://www.khconstructions.com.au/
Copperbrick Garages Pty Ltd,Marcus,tel:(03) 9844 5743,http://www.copperbrickgarages.com/
Burg Built,Alex Fridburg,tel:0410 503 523,http://www.burgbuilt.com.au/
i2 Homes,Ian Hazan,tel:95230655,http://i2homes.com.au/
LG BUILDING SERVICES,Leon Gruchy,tel:0419 109 623,https://www.houzz.com.au/professionals/home-builders/lg-building-services-pfvwau-pf~438218702/__public
Gunn Building Projects,"$5,000 - $1.5 million",tel:0447 341 511,http://www.gunnbuildingprojects.com.au/
Glenrich Builders,"                
                    ",tel:0411 519 010,https://www.glenrich.com.au/
Joncol Building Services,Jonathon Grima,tel:93956966,https://www.joncol.com.au/
Manuka Blue Pty Ltd,Tremayne Todd,tel:0439 994 419,http://www.manukablue.com.au
Purple Building Group,Adam Blumfield,tel:0409 007 929,http://purplebuildinggroup.com/
Orbit Homes,"                
                    ",tel:(03) 9377 0000,https://orbithomes.com.au/
Arlington Homes,"$300,000 - $4 million",tel:(03) 9375 4194,https://www.arlingtonhomes.com.au/
Riviera Building Group Pty Ltd,Carl Saker,tel:(03) 8707 0663,https://www.rivierabuilding.com.au/
Hometec Industries Pty Ltd,Peter Di Iorio,tel:(03) 9704 3600,https://www.hometec.com.au/
Vaughan Building Projects,Michael Vaughan,tel:0413 602 696,http://www.vbp.net.au
RODA Developments,David M,tel:(03) 9460 7632,https://www.rodadevelopments.com.au/
Yum Homes Pty Ltd,"                
                    ",tel:(03) 8358 4870,https://www.yumhomes.com.au/
Platinum Building Group,Platinum Building Group,tel:0408 399 321,http://www.platinumbg.com.au
Milara Building & Development Pty Ltd,"AUD  $300,000 - ",tel:86802570,https://www.milarabd.com.au/
BH Prestige Homes,"$700,000 - $1 million",tel:1300 556 900,https://www.bhprestigehomes.com.au/
CNC Constructions & Developments Pty Ltd,Joel Black,tel:0422 235 530,http://www.cncconstructions.com.au/
Align Concepts,"$50,000 - $1 million",tel:(03) 9830 0706,http://www.alignconcepts.com.au
elder,stan elder,tel:0418 382 624,http://www.eldergroup.com.au
Boutique Homes,Boutique Homes,tel:(03) 9008 7475,https://www.boutiquehomes.com.au/?utm_medium=affiliate&utm_source=houzz
Mayfair Living - Custom Homes,Tom Chambers,tel:(03) 9510 7776,https://www.mayfairliving.com.au/
Mazzei Homes,Zeb Woodhatch,tel:1300 629 934,http://mazzei.com.au/
Everlong Constructions,Justin Robertson,tel:0404 787 014,https://everlongconstructions.com.au/
InForm,"$600,000 - $4 million",tel:(03) 8567 3800,https://informdesign.com.au/
Pascon Group Pty Ltd,George Passas,tel:96817330,http://www.pascongroup.com.au
Grundella Constructions Pty Ltd,Clint Grundy,tel:83887233,http://www.grundella.com.au
Easton.,"                
                    ",tel:0418 535 899,https://www.craigeaston.co/
MPR Building,Paul Rodgerson,tel:0406 933 550,https://mprdesignandbuild.com.au/
Elite Custom Homes,"$100,000 - $1 million",tel:0412 137 236,https://elitecustomhomes.com.au/
Hotondo Homes,Hotondo Homes,tel:1800 677 156,https://hotondo.com.au/
G building group,"                
                    ",tel:0416 413 040,http://www.gbuildinggroup.com.au
Virgon Constructions,Christian Virgona,tel:(03) 9819 9109,https://www.virgon.com.au/
Orbit Homes,"                
                    ",tel:1300 672 484,https://orbithomes.com.au/
Passive Edge Homes,Dave Maurer,tel:0403 014 563,http://passiveedge.com
Mayfair Living,"                
                    ",tel:(03) 9510 7776,https://www.mayfairliving.com.au/
AcevBuilt Pty Ltd,Carlos Acevedo,tel:0426 237 324,https://www.acevbuilt.com.au/
Bayside Extensions,Bayside Extensions,tel:(03) 9596 0368,https://baysideextensions.com
Kialla Homes,George Brazier,tel:(03) 5941 3996,https://www.kiallahomes.com.au/
Berman Homes,"$600,000 - $2 million",tel:0407 255 398,http://bermanhomes.com.au
Dimona Constructions PTY LTD,Sari Aizik,tel:0409 547 799,https://dimona.com.au/
Bose Construction,Bose Construction,tel:0422 221 455,https://boseconstruction.com.au/
Black Rock Builders,Matt Ellis,tel:0422 354 506,http://www.blackrockbuilders.com.au
FOG Projects,Daniel Fogarty,tel:0402 543 218,https://www.fogprojects.com.au/
iB Homes,"                
                    ",tel:0405 311 189,http://www.ibhomes.com.au
PRM Constructions,Nick Stephens,tel:(03) 9571 4700,http://prmconstructions.com.au/
AlphaQ Property & Construction,Linda,tel:(03) 9996 1157,http://alphaq.com.au/
Murchie Group,"$500,000 - $5 million",tel:0407 746 644,https://murchiegroup.com.au/
Eagleye Building,Brett Eagles,tel:0401 475 145,http://www.eagleyebuilding.com.au
Your Favourite Homes builder,Oksana Katorjevskaya,tel:0415 842 005,https://ksyusha123.houzz.com.au/
Alphen Construction,Dirk Jackson,tel:0407 353 192,https://www.alphen.com.au/construction
Woodsman Projects Pty Ltd,"$180,000 - $5 million",tel:0481 206 966,https://woodsmanprojects.com.au/
MJ Bright Builders,Matt,tel:0402 071 728,https://www.mjbrightbuilders.com.au/
Sienna Homes,Fiona Lowry,tel:(03) 8685 8115,https://www.siennahomes.com.au/
August Projects,"$500,000 - $3 million",tel:98791895,http://www.augustprojects.com.au
Norton Homes Pty Ltd,David Norton,tel:(03) 9598 8464,https://www.nortonbuilders.com.au/
