title,owner,Phone_No,website
Rex Homes,Rex Homes,tel:1300 710 935,https://www.rexhomes.com.au/
Period Extensions & Designs,"AUD  $100,000 - $6,000,000",tel:(03) 9882 5255,https://www.periodextensions.com.au
First Avenue Homes,Anthony Karlovic,tel:(03) 9596 8536,http://www.firstavenuehomes.com.au
Expo Homes Pty Ltd,Joe Aliotta,tel:(03) 8300 7996,http://www.expohomes.com.au/index.htm
Destin Constructions,David Schwarzer,tel:(03) 8658 8957,https://www.doncastertemplestowebuilding.com.au/
Refresh Renovations Melbourne Adnan Darwish,Adnan Sayyed Darwish,tel:1800 335 289,https://www.refreshrenovations.com.au/about-us/locations/melbourne/?utm_source=directory&utm_medium=Houzz&utm_campaign=Melbourne%20Adnan%20Sayyed%20Darwish
AGN Builders,George Nionakis,tel:1300 880 555,https://www.agnbuilders.com.au/
Jigsaw Projects,Grant Jennings,tel:(03) 9070 5316,http://jigsawprojects.com.au
Kube Constructions,Marcus Elliott & Andrew Siracusa,tel:(03) 6169 1564,https://www.kubeconstructions.com.au/
Sheridan Building,Jarrod Sheridan,tel:(03) 8657 4197,http://sheridanbuilding.com.au/
Ridge Master Builders Pty Ltd,Christopher Horsley,tel:(08) 9520 8518,https://ridgemasterbuilders.com.au/
Fidaro Pty Ltd,Bijan Zardbani,tel:(03) 8594 4097,http://www.fidaro.com.au/
Dimpat,Adrian Poropat,tel:0431 065 949,http://www.dimpat.com.au
G-LUX Builders,Jesse Glascott,tel:(03) 9067 7504,https://gluxbuilders.com.au/
Construct Group,"$50,000 - $1 million",tel:0408 053 935,http://www.constructgroupaustralia.com/
